Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,2.690000,2.721000,2.684000,2.713500,2.713500,1702
2020-07-01,2.716000,2.737500,2.697500,2.717000,2.717000,1482
2020-07-02,2.741000,2.744500,2.715000,2.733500,2.733500,673
2020-07-05,2.728500,2.736500,2.721000,2.730000,2.730000,98738
2020-07-06,2.718000,2.767500,2.717500,2.766000,2.766000,713
2020-07-07,2.781000,2.787500,2.738000,2.787500,2.787500,514
2020-07-08,2.784500,2.814500,2.781500,2.814500,2.814500,773
2020-07-09,2.815500,2.860000,2.814500,2.828000,2.828000,378
2020-07-10,2.836000,2.899500,2.830500,2.887000,2.887000,403
2020-07-12,2.919500,2.925500,2.915000,2.916000,2.916000,159817
2020-07-13,2.904000,2.981500,2.880500,2.942000,2.942000,543
2020-07-14,2.899000,2.921000,2.894500,2.916000,2.916000,1115
2020-07-15,2.928000,2.930000,2.860000,2.870500,2.870500,1158
2020-07-16,2.851500,2.888000,2.851500,2.886000,2.886000,513
2020-07-17,2.889000,2.893500,2.870000,2.887500,2.887500,482
2020-07-19,2.906500,2.909000,2.895000,2.907500,2.907500,54674
2020-07-20,2.888000,2.914000,2.881500,2.898500,2.898500,596
2020-07-21,2.919000,2.954000,2.915500,2.941000,2.941000,493
2020-07-22,2.951500,2.951500,2.881500,2.908500,2.908500,534
2020-07-23,2.891000,2.924500,2.891000,2.924500,2.924500,598
2020-07-24,2.897000,2.906500,2.858500,2.882000,2.882000,749
2020-07-26,2.892500,2.897500,2.883500,2.894500,2.894500,90071
2020-07-27,2.884500,2.900000,2.879000,2.888000,2.888000,450
2020-07-28,2.915500,2.916000,2.871000,2.905000,2.905000,484
2020-07-29,2.906500,2.907000,2.882500,2.905500,2.905500,402
2020-07-30,2.923000,2.923000,2.874000,2.904500,2.904500,874
2020-07-31,2.915000,2.915000,2.845500,2.859000,2.859000,631
2020-08-02,2.866500,2.870500,2.842000,2.847500,2.847500,177038
2020-08-03,2.853500,2.912000,2.835000,2.908000,2.908000,526
2020-08-04,2.907500,2.909500,2.879500,2.889500,2.889500,423
2020-08-05,2.894500,2.930000,2.892000,2.911500,2.911500,742
2020-08-06,2.895000,2.907500,2.892500,2.905500,2.905500,439
2020-08-07,2.874000,2.874000,2.789000,2.790500,2.790500,723
2020-08-09,2.786000,2.794000,2.782000,2.791500,2.791500,180529
2020-08-10,2.823000,2.869500,2.823000,2.858500,2.858500,380
2020-08-11,2.861500,2.873500,2.841500,2.872000,2.872000,332
2020-08-12,2.891000,2.891000,2.878000,2.887000,2.887000,365
2020-08-13,2.878000,2.879000,2.796000,2.804000,2.804000,460
2020-08-14,2.855500,2.856000,2.851000,2.856000,2.856000,255
2020-08-16,2.860500,2.867500,2.850000,2.853500,2.853500,82171
2020-08-17,2.844500,2.910000,2.844500,2.898000,2.898000,346
2020-08-18,2.953000,2.971500,2.953000,2.971000,2.971000,318
2020-08-19,3.016000,3.019000,2.985500,3.019000,3.019000,518
2020-08-20,2.958000,2.970000,2.958000,2.970000,2.970000,464
2020-08-21,2.913500,2.925000,2.913500,2.913500,2.913500,304
2020-08-23,2.919500,2.934500,2.919500,2.931500,2.931500,112868
2020-08-24,2.940000,2.940000,2.916500,2.922500,2.922500,377
2020-08-25,2.919500,2.931000,2.917000,2.931000,2.931000,347
2020-08-26,2.945000,2.965500,2.945000,2.959500,2.959500,315
2020-08-27,2.965000,2.965000,2.965000,2.965000,2.965000,45428
2020-08-28,2.976000,3.017000,2.974000,2.995000,2.995000,13122
2020-08-30,3.028000,3.036500,3.012000,3.031500,3.031500,66378
2020-08-31,3.013500,3.044000,3.012000,3.041000,3.041000,1599
2020-09-01,3.032500,3.060500,2.998000,3.009500,3.009500,1204
2020-09-02,3.005000,3.018000,2.983500,3.003000,3.003000,980
2020-09-03,3.008000,3.016000,2.941500,2.958000,2.958000,1051
2020-09-04,2.959500,3.062000,2.947000,3.046500,3.046500,961
2020-09-06,null,null,null,null,null,null
2020-09-08,3.052000,3.071000,2.994000,3.012500,3.012500,939
2020-09-09,2.993500,3.047500,2.991000,3.040000,3.040000,775
2020-09-10,3.037500,3.041000,2.951000,2.987000,2.987000,676
2020-09-11,2.971000,3.043500,2.971000,3.034000,3.034000,412
2020-09-13,null,null,null,null,null,null
2020-09-14,3.049000,3.070000,3.030000,3.066500,3.066500,381
2020-09-15,3.081500,3.082500,3.050500,3.063000,3.063000,376
2020-09-16,3.046000,3.065500,3.046000,3.058000,3.058000,385
2020-09-17,3.059500,3.076000,3.020000,3.066500,3.066500,383
2020-09-18,3.080000,3.113500,3.066000,3.113500,3.113500,275
2020-09-20,null,null,null,null,null,null
2020-09-21,3.098500,3.098500,3.022000,3.029500,3.029500,390
2020-09-22,3.060500,3.080000,3.048500,3.059000,3.059000,614
2020-09-23,3.050000,3.050000,2.957500,2.993500,2.993500,510
2020-09-24,2.970500,2.972000,2.929500,2.969000,2.969000,351
2020-09-25,2.983000,2.991000,2.952500,2.973000,2.973000,476
2020-09-27,null,null,null,null,null,null
2020-09-28,2.984000,2.989500,2.970500,2.989500,2.989500,483
2020-09-29,2.996000,2.996000,2.958000,2.983500,2.983500,932
2020-09-30,2.982500,3.030500,2.975000,3.028500,3.028500,510
2020-10-01,3.032500,3.032500,2.862000,2.863500,2.863500,776
2020-10-02,2.843000,2.981500,2.843000,2.978500,2.978500,355
2020-10-04,null,null,null,null,null,null
2020-10-05,2.969000,2.969000,2.940500,2.965000,2.965000,317
2020-10-06,2.959500,2.965500,2.956000,2.965500,2.965500,320
2020-10-07,3.009000,3.047000,3.009000,3.034500,3.034500,292
2020-10-08,3.016000,3.045000,3.016000,3.042000,3.042000,390
2020-10-09,3.092000,3.092000,3.069500,3.079500,3.079500,287
2020-10-11,null,null,null,null,null,null
2020-10-12,3.070000,3.070000,3.058500,3.061000,3.061000,262
2020-10-13,3.045500,3.045500,3.036500,3.042500,3.042500,215
2020-10-14,3.050000,3.050000,3.047500,3.047500,3.047500,326
2020-10-15,3.052000,3.088000,3.048500,3.083000,3.083000,269
2020-10-16,3.065000,3.065000,3.063500,3.065000,3.065000,269
2020-10-18,null,null,null,null,null,null
